alg,timestamp,infer_lr,infer_weight_decay,infer_num_epochs,gpu,seed,root_dir,results_csv,batch_size,num_epochs,lr,weight_decay,momentum,pretrained,infer_momentum,high_sampling_power,train_worst_group_accuracy,train_average_accuracy,group_accuracy,group_avg_precision,group_min_precision,group_avg_recall,group_min_recall,worst_group_accuracy,average_accuracy,early_stopping_worst_group_accuracy,early_stopping_average_accuracy,val_early_stopping_worst_group_accuracy,val_early_stopping_average_accuracy
spare,2024-01-22 19:20:26.284765,0.001,1.0,1,1,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,0.0,76.79017789794948,0.7047539616346956,0.519826462257789,0.0847457627118644,0.4238600793830068,0.075187969924812,28.86917960088692,78.66982128022127,80.68535825545172,97.928477932957,86.26609442060087,92.24353628023351
spare,2024-01-22 19:20:36.195453,0.001,1.0,2,3,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,0.0,76.78832116788321,0.7147623019182652,0.5154877784988103,0.0956521739130434,0.4447868598534964,0.0827067669172932,46.65188470066519,89.63777048227955,66.97819314641744,96.67574317092884,72.93233082706767,86.48874061718098
spare,2024-01-22 19:20:52.525791,0.0001,1.0,2,3,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,17.857142857142858,93.45900793753874,0.658882402001668,0.5301959918561582,0.1102362204724409,0.3798847978314886,0.1052631578947368,59.866962305986696,93.02239859031909,81.15264797507788,97.52982470485244,86.26609442060087,92.16013344453712
spare,2024-01-22 19:21:49.763205,1e-05,1.0,2,3,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,0.0,76.78832116788321,0.5112593828190158,0.4936502938706969,0.4583333333333333,0.4320888057052502,0.4135338345864661,27.84922394678492,85.03064310209841,75.70093457943925,97.65547550704092,84.97854077253218,91.24270225187657
spare,2024-01-22 19:22:03.924364,0.0001,1.0,1,1,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,0.0,77.46472327255994,0.6555462885738115,0.5509576901086335,0.1742424242424242,0.4029897705637484,0.1729323308270676,39.60088691796009,86.06214918301558,77.88161993769471,97.79979711080723,84.9624060150376,92.16013344453712
spare,2024-01-22 19:22:11.261634,1e-05,0.1,2,3,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,0.0,76.78832116788321,0.5079232693911593,0.4913774635818337,0.4583333333333333,0.4256510374649069,0.4135338345864661,51.44124168514412,93.82858961125538,77.88161993769471,97.48341658048008,84.21052631578948,91.74311926605505
spare,2024-01-22 19:23:50.533058,1e-05,1.0,1,1,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,0.0,76.61707471103996,0.4737281067556297,0.5117440636331735,0.4409638554216867,0.4219158411049082,0.3927038626609442,44.92239467849224,88.38235918365166,78.81619937694704,97.75402578372866,82.70676691729324,90.9090909090909
spare,2024-01-22 19:23:53.139895,1e-05,0.1,1,1,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,0.0,76.77922796752145,0.4678899082568807,0.5032623626373627,0.4350961538461538,0.419769918358127,0.388412017167382,52.50554323725056,88.34268774224417,75.0778816199377,97.84567001141184,83.45864661654136,92.32693911592996
spare,2024-01-22 20:28:00.220479,0.0001,0.01,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,0.0,92.90345751827071,0.6538782318598833,0.5473297403233709,0.1615384615384615,0.3933250508244861,0.1578947368421052,55.07760532150776,90.34018956074664,80.68535825545172,97.89438846892271,85.71428571428571,92.49374478732275
spare,2024-01-22 20:29:08.907619,0.0001,0.1,2,2,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,27.722772277227723,86.37293335324163,0.6572143452877398,0.530981135054069,0.0975609756097561,0.3648552712252735,0.0902255639097744,76.76274944567628,93.38659409093457,83.64485981308411,97.73395938696868,87.12446351931331,92.743953294412
spare,2024-01-22 20:29:42.329657,1e-05,0.01,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,0.0,76.77923335129906,0.4678899082568807,0.5032623626373627,0.4350961538461538,0.419769918358127,0.388412017167382,52.41685144124168,91.98090172816096,73.3644859813084,97.6548483758705,84.21052631578948,91.90992493744788
spare,2024-01-22 20:30:14.426682,0.001,0.1,2,2,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,56.09756097560975,89.74179951489229,0.7055879899916597,0.9594150509365758,0.9411764705882352,0.4885201200425957,0.3755364806866952,46.031042128603104,74.76957659548891,82.52771618625277,96.24690809920229,82.70676691729324,90.49207673060884
spare,2024-01-22 20:30:18.788389,0.0001,0.1,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,0.0,93.13709590308474,0.6538782318598833,0.5490488307282201,0.1679389312977099,0.3970844493207267,0.1654135338345864,63.68070953436807,93.96547157007642,78.03738317757009,97.6994403350575,86.69527896995709,92.32693911592996
spare,2024-01-22 20:30:46.445275,1e-05,0.01,2,2,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,0.0,76.78832116788321,0.5079232693911593,0.4913774635818337,0.4583333333333333,0.4256510374649069,0.4135338345864661,49.44567627494457,92.84495888868794,78.97196261682242,97.5183283420627,85.83690987124463,91.65971643035864
spare,2024-01-22 20:31:21.895457,0.001,0.1,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,40.20618556701031,85.07221782019433,0.7789824854045038,0.9401477832512316,0.9285714285714286,0.5893704217625608,0.5864661654135338,67.22838137472284,91.113281844876,84.11214953271028,97.1574045288986,88.7218045112782,93.49457881567972
spare,2024-01-22 20:31:25.692566,0.001,0.01,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,45.05494505494506,51.2611784738265,0.7789824854045038,0.941722972972973,0.9375,0.5823840717674014,0.5639097744360902,47.66355140186916,92.66594023804691,83.80062305295951,97.28487130900032,88.7218045112782,93.49457881567972
spare,2024-01-22 20:31:27.265424,0.001,0.01,2,2,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,59.34065934065934,90.1843979216242,0.7080900750625522,0.947337962962963,0.925925925925926,0.4815257026686889,0.3991416309012875,36.49667405764967,80.34829612498869,82.1729490022173,95.705755367603,81.203007518797,89.32443703085904
spare,2024-01-22 20:32:24.196688,0.0001,0.01,2,2,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,27.81954887218045,83.40469339931963,0.6572143452877398,0.532493842853738,0.0975609756097561,0.3637823098518829,0.09022556390977443,49.3569844789357,85.55435000797958,84.73520249221184,97.80657342343744,87.96992481203007,93.32777314428691
